Unnamed: 0,userID,hotelID,prediction
12124,10664,551,18.343098
12116,10664,469,17.921701
12122,10664,282,7.082578
12107,10664,494,0.6786331
12113,10664,488,0.66694593
12102,10664,148,0.6633497
12104,10664,2,0.66171354
12109,10664,227,0.6574214
12115,10664,338,0.6571131
12120,10664,456,0.6551913
12111,10664,292,0.6474609
12118,10664,17,0.6425334
12101,10664,537,0.6415307
12117,10664,255,0.6397468
12119,10664,451,0.63961345
12103,10664,356,0.6392187
12100,10664,11,0.63856286
12114,10664,429,0.63591266
12106,10664,343,0.63388646
12105,10664,183,0.632059
12123,10664,47,0.628863
12108,10664,387,0.6259717
12110,10664,378,0.62533456
12112,10664,193,0.62440795
12121,10664,48,0.62179214
12099,10659,551,16.66094
12078,10659,132,13.765374
12096,10659,282,12.677419
12087,10659,23,11.779046
12091,10659,234,8.595797
12093,10659,147,5.145855
12085,10659,476,3.6797347
12098,10659,243,1.4885881
12095,10659,144,1.1956847
12082,10659,494,0.6751841
12081,10659,183,0.65105146
12080,10659,2,0.6495667
12077,10659,356,0.64653987
12086,10659,292,0.6350275
12083,10659,363,0.6325349
12076,10659,441,0.63087195
12092,10659,500,0.62534046
12084,10659,227,0.62136716
12094,10659,451,0.61851925
12075,10659,11,0.6181289
12079,10659,237,0.61803865
12088,10659,266,0.6159219
12089,10659,488,0.61262536
12090,10659,432,0.60858333
12097,10659,47,0.6035596
12054,10657,132,13.0210285
12074,10657,551,12.449316
12068,10657,469,10.34755
12073,10657,282,4.002357
12064,10657,23,2.848278
12059,10657,494,0.69751936
12062,10657,292,0.6945249
12065,10657,266,0.69056994
12058,10657,2,0.68884486
12055,10657,237,0.66676205
12050,10657,11,0.6648521
12071,10657,173,0.66137236
12053,10657,356,0.6595942
12070,10657,255,0.6557767
12072,10657,456,0.65431195
12052,10657,148,0.6473906
12056,10657,351,0.6469449
12051,10657,537,0.64668727
12069,10657,330,0.6462496
12067,10657,338,0.64256454
12060,10657,227,0.63651067
12063,10657,193,0.63574624
12066,10657,319,0.63324475
12057,10657,408,0.632817
12061,10657,378,0.6309709
12049,10636,551,22.154482
12047,10636,282,10.995619
12041,10636,469,9.457566
12037,10636,23,5.207458
12030,10636,132,4.568081
12043,10636,147,3.461558
12038,10636,266,0.6945583
12034,10636,494,0.69207764
12033,10636,2,0.68767715
12035,10636,292,0.6824394
12025,10636,11,0.6637842
12045,10636,456,0.66267645
12031,10636,237,0.6589631
12029,10636,356,0.6543528
12046,10636,48,0.649704
12026,10636,107,0.64737326
12036,10636,193,0.64647406
12039,10636,488,0.64554846
12040,10636,338,0.64282805
12044,10636,173,0.64090663
12032,10636,389,0.6390549
12027,10636,537,0.6385967
12042,10636,255,0.63793075
12028,10636,148,0.63764536
12048,10636,47,0.63747114
12024,10633,551,17.86445
12005,10633,132,10.225634
12018,10633,469,6.1511493
12015,10633,23,5.104866
12021,10633,6,0.849985
12010,10633,494,0.69203585
12016,10633,266,0.68061715
12009,10633,2,0.6757628
12013,10633,292,0.67266154
12006,10633,237,0.6553789
12003,10633,356,0.6491532
12000,10633,11,0.64814013
12002,10633,148,0.64749247
12020,10633,255,0.6443336
12004,10633,530,0.6379568
12011,10633,378,0.6363525
12007,10633,351,0.63462865
12022,10633,456,0.6343481
12001,10633,420,0.63101727
12014,10633,193,0.6302724
12023,10633,47,0.62943673
12019,10633,330,0.6294091
12008,10633,160,0.6270985
12012,10633,141,0.6244906
12017,10633,338,0.6240963
11999,10605,551,22.56756
11992,10605,23,15.687859
11983,10605,132,11.303068
11988,10605,494,0.70013976
11993,10605,266,0.6885976
11986,10605,2,0.6875708
11978,10605,148,0.681576
11991,10605,292,0.6738144
11984,10605,237,0.6577709
11997,10605,456,0.65098
11994,10605,488,0.65027046
11976,10605,420,0.6457431
11980,10605,356,0.64478487
11975,10605,11,0.6425506
11982,10605,380,0.6385029
11990,10605,378,0.63767284
11989,10605,227,0.63334095
11985,10605,408,0.6324131
11995,10605,17,0.6278081
11979,10605,120,0.6264742
11987,10605,183,0.62460786
11998,10605,47,0.6231981
11981,10605,273,0.6229753
11977,10605,537,0.6229273
11996,10605,173,0.6215127
11971,10594,282,12.087322
11974,10594,551,11.476499
11953,10594,132,5.870519
11965,10594,469,5.478317
11973,10594,295,1.7923713
11958,10594,494,0.7038562
11963,10594,266,0.699179
11957,10594,2,0.68654954
11961,10594,292,0.6852356
11950,10594,11,0.65404075
11970,10594,456,0.65377617
11952,10594,380,0.6530948
11962,10594,193,0.6509035
11964,10594,488,0.65043575
11959,10594,540,0.6486427
11954,10594,237,0.6469355
11968,10594,507,0.643787
11955,10594,351,0.6422417
11951,10594,120,0.6409245
11972,10594,47,0.6408046
11969,10594,173,0.6372662
11966,10594,255,0.6350749
11956,10594,389,0.633091
11960,10594,184,0.63177127
11967,10594,567,0.6294098
11949,10516,551,18.439934
11943,10516,469,17.34182
11948,10516,282,10.211094
11945,10516,147,2.5744762
11931,10516,132,0.9158748
11933,10516,2,0.70879334
11935,10516,494,0.6818429
11937,10516,292,0.6699903
11940,10516,488,0.6669635
11947,10516,456,0.6639409
11942,10516,338,0.66375166
11929,10516,356,0.6627784
11925,10516,11,0.65490705
11927,10516,148,0.6479087
11928,10516,120,0.64513654
11926,10516,537,0.6440091
11936,10516,227,0.63721144
11934,10516,343,0.6300566
11939,10516,266,0.63000834
11938,10516,193,0.6295123
11930,10516,380,0.62693304
11944,10516,500,0.6264049
11941,10516,429,0.6240992
11946,10516,451,0.62255806
11932,10516,237,0.6224609
11921,10509,282,18.095139
11924,10509,551,15.259384
11913,10509,23,9.849498
11905,10509,132,9.348465
11923,10509,243,2.7527595
11909,10509,494,0.6776387
11907,10509,2,0.66468906
11914,10509,266,0.6620431
11903,10509,148,0.6614316
11911,10509,292,0.6565566
11920,10509,48,0.6473954
11915,10509,488,0.6430793
11904,10509,380,0.6382255
11919,10509,456,0.63417816
11918,10509,507,0.6309986
11912,10509,291,0.62991893
11910,10509,387,0.6291996
11902,10509,537,0.6278332
11917,10509,338,0.6266322
11900,10509,11,0.62570614
11922,10509,47,0.6208143
11906,10509,408,0.6197737
11916,10509,429,0.6152569
11901,10509,420,0.6146672
11908,10509,539,0.61455053
11899,10501,551,15.2900505
11894,10501,469,11.327393
11881,10501,132,8.604605
11897,10501,282,3.9262912
11884,10501,2,0.70312655
11886,10501,494,0.6770388
11878,10501,148,0.6718085
11875,10501,11,0.6665252
11885,10501,183,0.65277064
11882,10501,237,0.64868844
11877,10501,441,0.640492
11892,10501,488,0.63914
11898,10501,47,0.6361068
11888,10501,227,0.6327817
11890,10501,266,0.6304553
11880,10501,380,0.6296631
11896,10501,507,0.6287733
11879,10501,356,0.6282172
11876,10501,420,0.6224687
11887,10501,387,0.62126625
11891,10501,154,0.6201087
11883,10501,351,0.62005824
11889,10501,141,0.61950207
11895,10501,567,0.6193542
11893,10501,319,0.61750066
11872,10424,282,13.4493065
11874,10424,551,13.199466
11866,10424,469,11.666229
11862,10424,23,3.5669823
11868,10424,147,1.8934691
11856,10424,494,0.7012425
11863,10424,266,0.69390076
11854,10424,2,0.6901459
11869,10424,173,0.65884966
11861,10424,292,0.65796
11852,10424,356,0.6557671
11865,10424,488,0.65431744
11873,10424,47,0.65371823
11870,10424,456,0.6519181
11853,10424,408,0.6483916
11871,10424,48,0.6472935
11858,10424,227,0.6437128
11851,10424,148,0.6435146
11864,10424,57,0.6416427
11867,10424,255,0.6390077
11850,10424,537,0.63502896
11857,10424,363,0.6346049
11860,10424,141,0.63342094
11859,10424,378,0.6326277
11855,10424,183,0.6323079
11829,10266,132,12.525214
11849,10266,551,11.210518
11842,10266,469,10.709989
11838,10266,23,9.049959
11846,10266,282,2.0716136
11848,10266,295,1.4527062
11839,10266,266,0.70566374
11833,10266,2,0.69850934
11835,10266,494,0.6782795
11847,10266,47,0.66178447
11837,10266,292,0.65703475
11825,10266,11,0.65332663
11845,10266,456,0.6499899
11843,10266,330,0.6460623
11828,10266,356,0.6452894
11840,10266,488,0.64498
11830,10266,351,0.6433926
11832,10266,408,0.6414662
11836,10266,184,0.6412377
11827,10266,148,0.63845015
11844,10266,451,0.6364804
11831,10266,389,0.6324487
11841,10266,338,0.6310684
11834,10266,183,0.6285387
11826,10266,537,0.6277217
11818,10260,469,11.947831
11821,10260,282,11.227018
11824,10260,551,9.618119
11823,10260,295,4.837833
11808,10260,2,0.6765537
11820,10260,456,0.6563199
11803,10260,120,0.6548752
11810,10260,494,0.6510595
11816,10260,266,0.64954185
11800,10260,11,0.6452164
11822,10260,554,0.64475316
11802,10260,148,0.6409335
11801,10260,537,0.6357809
11814,10260,292,0.6336481
11804,10260,356,0.6292032
11807,10260,237,0.62578064
11817,10260,338,0.6245116
11813,10260,184,0.6237408
