userID,hotelID,prediction
70,482,0.6537618
70,441,0.6231254
70,537,0.65240175
70,120,0.6266174
70,530,0.6703705
70,541,0.6340227
70,2,0.63985544
70,19,0.64563024
70,100,1.6643369
70,468,0.6358468
70,25,0.6256636
70,404,0.6723308
70,488,0.6558815
70,506,0.6680436
70,502,0.6196443
70,469,7.079726
70,336,13.466211
70,330,0.7267933
70,579,0.66151035
70,507,0.65111214
70,382,18.05917
70,321,17.571669
70,128,0.6638201
70,339,6.0934067
70,483,20.963837
86,441,0.65370613
86,537,0.66713315
86,120,0.6512911
86,73,0.6453632
86,530,0.6705424
86,541,0.63714105
86,2,0.65747714
86,19,0.65134376
86,468,0.64611393
86,443,0.651123
86,333,0.63601565
86,404,0.6872839
86,488,0.6596812
86,506,2.7256095
86,250,0.6425477
86,469,7.452472
86,336,12.388735
86,330,0.7361214
86,579,0.6723138
86,507,0.6442718
86,382,12.679489
86,321,18.921753
86,128,0.68568766
86,339,10.528448
86,483,17.612074
100,482,0.6216368
100,537,0.64781827
100,120,0.62253344
100,566,0.61930436
100,530,0.6482134
100,2,0.62247646
100,19,0.6055065
100,468,0.63114077
100,443,0.6079065
100,481,0.60721856
100,404,0.6434663
100,276,0.6143068
100,488,0.63291854
100,294,0.6180306
100,506,0.60419065
100,250,0.61023426
100,469,4.5693426
100,336,21.677944
100,330,0.6949547
100,579,0.608055
100,507,0.6445869
100,382,8.294431
100,321,19.981836
100,128,0.6561434
100,483,0.87275666
126,482,0.6333188
126,441,0.64722186
126,537,0.6462156
126,73,0.63239217
126,530,0.66744953
126,2,0.6281302
126,19,0.6535336
126,100,0.66401595
126,468,0.6250518
126,333,0.62689555
126,404,0.65516704
126,57,0.6236824
126,488,0.63148344
126,506,1.4759698
126,469,6.309424
126,336,12.375203
126,330,0.7221189
126,579,0.67389834
126,507,0.6334154
126,382,13.03796
126,321,18.478632
126,128,0.6924257
126,144,2.0360508
126,339,5.2555156
126,483,16.658144
145,120,0.59917927
145,73,0.59278685
145,530,0.5984361
145,160,0.6011686
145,2,0.6492454
145,19,0.6012657
145,100,6.904857
145,343,0.6013432
145,227,0.60537225
145,443,0.62591
145,44,0.59438735
145,25,0.6038323
145,404,0.65314394
145,57,0.5946302
145,488,0.64418054
145,250,0.5998167
145,254,0.5949036
145,334,0.5972342
145,469,3.7464228
145,336,4.1354113
145,330,0.690138
145,321,9.796392
145,128,0.6488712
145,339,19.614023
145,483,13.039346
415,537,0.64679945
415,73,0.6186129
415,530,0.64989847
415,541,0.6159991
415,153,1.2209533
415,100,5.864316
415,468,0.6206747
415,443,0.6216275
415,333,0.6402963
415,488,0.63308954
415,250,0.6259573
415,188,7.4538527
415,469,0.6717661
415,336,17.83193
415,330,0.68785894
415,500,0.64642835
415,579,0.6472406
415,382,10.005344
415,321,14.8626795
415,128,0.67296934
415,144,11.545741
415,339,11.4884205
415,456,0.61577225
415,180,0.6155967
415,483,17.374722
443,482,0.62564695
443,537,0.62572086
443,377,0.6234352
443,120,0.63526654
443,530,0.6600048
443,2,0.6221131
443,468,0.6462888
443,25,0.63314605
443,404,0.6833598
443,276,0.6229188
443,294,0.62963474
443,506,1.3339111
443,250,0.6389875
443,469,3.3777652
443,336,12.849406
443,330,0.71748173
443,579,0.6814293
443,327,2.090912
443,507,0.62863106
443,382,14.828425
443,321,12.75875
443,128,0.65668476
443,339,13.685999
443,578,0.6213918
443,483,15.718752
463,441,0.6387768
463,537,0.6423612
463,120,0.6395538
463,530,0.6422334
463,2,0.62945384
463,100,0.66568226
463,468,0.61833286
463,443,0.6382866
463,404,0.6675152
463,488,0.6288599
463,294,0.6212906
463,506,1.7662258
463,250,0.64324486
463,469,1.8411382
463,336,8.685496
463,330,0.713285
463,500,0.62954587
463,579,0.68201816
463,507,0.6518198
463,382,15.673687
463,321,11.427325
463,128,0.652933
463,339,7.136039
463,578,0.62578255
463,483,23.928354
549,482,0.61635864
549,441,0.63244236
549,537,0.6535263
549,120,0.6324042
549,73,0.6478474
549,530,0.65775645
549,541,0.6186491
549,19,0.6438634
549,100,0.7359552
549,443,0.6181094
549,333,0.63796264
549,404,0.62367576
549,488,0.6330705
549,506,9.158364
549,250,0.6161145
549,469,5.5535564
549,336,20.7108
549,330,0.7180304
549,579,0.6388088
549,382,17.218645
549,321,16.969526
549,128,0.6490873
549,144,0.66042596
549,339,14.013076
549,483,13.3539
631,482,0.65007424
631,441,0.64130396
631,537,0.65229434
631,120,0.6249646
631,566,0.6234848
631,530,0.6446997
631,541,0.6251375
631,2,0.62980247
631,468,0.620574
631,333,0.6216892
631,404,0.6717098
631,488,0.6466675
631,418,10.531373
631,250,0.63088924
631,265,16.774187
631,469,1.2899973
631,336,14.372075
631,330,0.7018235
631,579,0.6386974
631,507,0.6532242
631,382,22.914532
631,321,17.927547
631,128,0.6792186
631,339,3.4289694
631,483,19.279594
840,482,0.6255089
840,441,0.65601814
840,537,0.62855566
840,120,0.61863315
840,530,0.61521256
840,2,0.61704797
840,468,0.6141446
840,443,0.614151
840,333,0.62805307
840,404,0.66996425
840,488,0.63884413
840,506,8.110612
840,234,2.111692
840,265,1.6000311
840,336,12.445638
840,330,0.69877255
840,500,0.619115
840,579,0.65550226
840,382,5.3799033
840,321,14.462478
840,128,0.68158954
840,339,16.176182
840,344,1.9555436
840,578,0.62727576
840,483,14.048332
858,441,0.6284059
858,537,0.6452966
858,120,0.64560145
858,530,0.64069444
858,541,0.62545985
858,2,0.6303728
858,100,1.9486034
858,468,0.63335884
858,443,0.64113605
858,404,0.6692453
858,196,0.62835574
858,506,9.056594
858,250,0.63408357
858,469,6.5559216
858,336,16.721672
858,330,0.71500194
858,500,0.6619612
858,579,0.6889393
858,507,0.6314409
858,382,13.805911
858,321,11.225077
858,128,0.6824312
858,339,11.49249
858,578,0.6383249
858,483,14.92882
894,482,0.6220928
894,537,0.64161634
894,120,0.6491814
894,73,0.63752764
894,530,0.659301
894,541,0.62829083
894,2,0.64174837
894,19,0.62157404
894,468,0.61720157
894,443,0.6341999
894,333,0.63176167
894,404,0.64731425
894,57,0.63204724
894,488,0.632796
894,294,0.6161715
894,250,0.614831
894,469,12.051078
894,336,9.863698
894,330,0.71075296
894,176,0.61482966
894,579,0.6282338
894,382,18.729805
894,321,13.969372
894,128,0.6667135
894,483,18.03276
918,441,0.6354261
918,537,0.6310399
918,530,0.6676204
918,55,0.62973773
918,541,0.610471
918,2,0.63049525
918,19,0.5991847
918,468,0.61486053
918,443,0.62140983
918,333,0.61311257
918,44,0.613972
918,25,0.6238892
918,404,0.65431565
918,488,0.6032079
918,294,0.6004481
918,63,2.296135
918,336,4.560168
918,330,0.7082801
918,579,0.6634051
918,507,0.63047814
918,321,14.717743
918,128,0.6551008
918,339,4.4801545
918,578,0.6183381
918,483,24.089844
934,482,0.6287247
934,441,0.6311931
934,537,0.661899
934,120,0.6246729
934,566,0.627487
934,73,0.6278745
934,530,0.6586625
934,2,0.64341766
934,19,0.6363155
934,443,0.6367158
934,404,0.6686959
934,276,0.6175066
934,488,0.6384064
934,294,0.6182631
934,506,2.123709
934,250,0.62117946
934,469,8.891694
934,336,7.1631546
934,330,0.7205203
934,579,0.6321764
934,507,0.63195264
934,382,13.808538
934,321,16.570154
934,128,0.6583866
934,483,16.605093
944,537,0.62462115
944,120,0.63111246
944,73,0.61740667
944,369,3.9362276
944,2,0.6071652
944,153,1.7807791
944,472,0.60938174
944,468,0.5988901
944,404,0.6444725
944,488,0.597199
944,506,2.1755095
944,250,0.61270875
944,188,1.6066172
944,234,2.1943877
944,469,8.2769985
944,336,17.929163
944,330,0.6464584
944,500,0.6432808
944,507,0.60520816
944,382,9.868867
944,321,1.0756418
944,128,0.59191555
944,144,12.418792
944,339,17.782358
944,578,0.59356827
945,482,0.6435693
945,441,0.63324964
945,537,0.6595811
945,120,0.63430774
945,530,0.6720131
945,541,0.63754606
945,2,0.64977485
945,19,0.6334551
945,100,1.4251628
945,468,0.64303064
945,333,0.6317564
945,404,0.68413126
945,488,0.65286034
945,506,0.6371324
945,250,0.63195586
945,469,4.6709065
945,336,16.737482
945,330,0.7297039
945,579,0.66295105
945,507,0.65588
945,382,15.590344
945,321,19.75372
945,128,0.67545104
945,339,3.2241442
945,483,19.221737
1247,482,0.6207579
1247,435,0.60313505
1247,120,0.6049742
1247,326,3.1608353
1247,530,0.67363816
1247,541,0.62434846
1247,50,0.6071909
1247,2,0.61754334
1247,468,0.62480104
1247,333,0.6007872
1247,404,0.67619675
1247,418,2.5247383
1247,250,0.6078909
1247,336,15.821326
1247,330,0.70680934
1247,579,0.6369307
1247,174,0.8675199
1247,507,0.62566924
1247,382,12.48536
1247,321,21.010166
1247,128,0.6369874
1247,144,4.8627205
1247,578,0.6051986
1247,483,17.72352
1247,399,2.1824179
1256,482,0.60990256
1256,537,0.62362903
1256,73,0.62390435
1256,530,0.68022084
1256,2,0.6296012
1256,468,0.6322884
1256,443,0.66202736
1256,333,0.6293957
1256,44,0.6110269
1256,25,0.61900806
1256,404,0.66362184
1256,488,0.60934013
1256,250,0.6514084
1256,265,1.2617424
1256,336,15.097929
1256,330,0.69649994
1256,579,0.6440979
1256,327,6.652728
1256,507,0.6259655
1256,321,17.181654
1256,128,0.6355113
1256,144,6.880947
1256,339,11.734535
1256,282,2.1804726
1256,483,7.7337365
1356,482,0.6129149
1356,441,0.6109412
1356,537,0.6211747
1356,120,0.6465617
1356,73,0.6449077
1356,530,0.6285562
1356,541,0.6172378
1356,2,0.6314204
1356,443,0.6344028
1356,44,0.62036043
1356,404,0.6701015
1356,488,0.64156
1356,506,6.582402
1356,250,0.6168715
1356,469,12.396631
1356,336,5.0150266
1356,330,0.7287443
1356,500,0.61047465
1356,579,0.6177955
1356,507,0.6105053
1356,382,14.88507
1356,321,18.362125
1356,128,0.63462836
1356,339,4.120664
1356,483,16.72397
1358,482,0.62347597
1358,441,0.622348
1358,537,0.62271667
1358,120,0.64010996
1358,541,0.63141996
1358,369,1.4668067
1358,2,0.63465345
1358,19,0.62013197
1358,468,0.6374042
1358,443,0.6295655
1358,404,0.7066856
1358,506,4.2121997
1358,250,0.63050085
1358,188,1.9799296
1358,469,0.8366167
1358,336,4.9587493
