userID,itemID,rating,timestamp
70,528,6.0,1618963200.0
70,402,7.0,1622246400.0
70,508,6.0,1641081600.0
70,124,9.0,1649376000.0
70,107,7.0,1656633600.0
70,11,10.0,1678233600.0
86,499,5.0,1616889600.0
86,482,8.0,1616889600.0
86,548,9.0,1660435200.0
86,508,10.0,1663891200.0
86,38,10.0,1665446400.0
86,434,10.0,1681689600.0
100,425,6.0,1609804800.0
100,124,4.0,1653177600.0
100,395,1.0,1657152000.0
100,434,5.0,1672876800.0
126,220,6.9,1421280000.0
126,212,6.0,1448150400.0
126,357,9.7,1468540800.0
126,412,8.5,1486252800.0
126,302,9.6,1491696000.0
126,447,9.7,1518134400.0
126,513,5.5,1569974400.0
126,360,8.5,1575504000.0
126,261,8.3,1586563200.0
126,493,10.0,1605139200.0
145,69,9.7,1428624000.0
145,537,8.5,1475452800.0
145,412,6.0,1538179200.0
145,212,6.0,1540166400.0
145,441,5.5,1549497600.0
145,478,10.0,1619049600.0
145,426,10.0,1624924800.0
415,377,8.0,1494892800.0
415,120,9.0,1557187200.0
415,286,7.0,1564704000.0
415,515,8.0,1582416000.0
415,206,6.0,1582934400.0
415,435,8.0,1614556800.0
415,68,9.0,1614816000.0
415,148,10.0,1648425600.0
443,310,7.0,1442534400.0
443,544,10.0,1471305600.0
443,566,10.0,1492387200.0
443,356,9.3,1504137600.0
463,73,6.4,1471392000.0
463,490,8.0,1477094400.0
463,178,9.5,1562457600.0
463,112,6.0,1573257600.0
463,420,9.7,1593734400.0
549,260,7.0,1402185600.0
549,308,7.0,1473379200.0
549,42,5.7,1481846400.0
549,342,9.0,1483920000.0
549,246,8.0,1486598400.0
549,447,9.7,1518566400.0
631,545,10.0,1663113600.0
631,125,6.0,1676764800.0
631,40,7.0,1688169600.0
631,499,10.0,1688515200.0
840,260,7.7,1397001600.0
840,548,9.7,1483315200.0
840,8,8.5,1637625600.0
840,232,8.4,1640649600.0
858,65,7.5,1518220800.0
858,571,10.0,1642291200.0
858,439,1.0,1647734400.0
858,515,9.1,1655424000.0
894,379,7.0,1479254400.0
894,402,8.0,1608336000.0
894,271,10.0,1614556800.0
894,156,8.0,1658448000.0
918,251,7.0,1389052800.0
918,205,6.7,1389225600.0
918,242,7.0,1434067200.0
918,273,7.0,1454630400.0
918,275,7.0,1479340800.0
918,318,5.8,1520380800.0
918,138,8.4,1536796800.0
918,149,10.0,1539302400.0
918,568,8.5,1599177600.0
918,454,5.0,1650672000.0
934,549,8.5,1472256000.0
934,356,10.0,1473465600.0
934,203,7.0,1535241600.0
934,322,9.4,1553299200.0
944,252,8.0,1378425600.0
944,332,8.5,1506124800.0
944,301,6.0,1543363200.0
944,269,7.0,1555718400.0
944,496,10.0,1640131200.0
944,269,10.0,1669420800.0
945,350,7.7,1400630400.0
945,300,7.0,1567123200.0
945,518,10.0,1655683200.0
945,186,6.0,1674518400.0
1247,212,10.0,1515369600.0
1247,131,8.0,1553904000.0
1247,246,8.0,1568851200.0
1247,381,1.0,1613001600.0
1256,242,9.0,1433721600.0
1256,201,9.0,1492732800.0
1256,490,9.0,1500854400.0
1256,246,9.5,1545782400.0
1256,156,9.0,1572825600.0
1356,13,6.1,1525478400.0
1356,190,8.0,1560470400.0
1356,151,10.0,1591488000.0
1356,289,10.0,1616025600.0
1356,420,10.0,1675641600.0
1358,452,8.5,1451606400.0
1358,530,9.0,1506643200.0
1358,149,9.5,1545350400.0
1358,270,9.0,1545523200.0
1388,98,8.5,1447286400.0
1388,380,5.5,1472428800.0
1388,380,8.5,1474848000.0
1388,307,9.4,1512518400.0
1388,73,9.7,1657152000.0
1388,132,4.0,1676592000.0
1390,286,7.0,1453680000.0
1390,300,9.7,1483142400.0
1390,172,6.6,1498521600.0
1390,55,8.7,1514764800.0
1390,308,6.0,1534464000.0
